model,train_type,train_data,architecture,model_class,task_cluster,model_display_name,description,model_source,model_source_url,weights_url
nfnet_l0,classification,imagenet,nfnet_l0,Convolutional,Semantic,NF-Net-L0,NF-Net-L0 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
pit_b_224,classification,imagenet,pit_b_224,Transformer,Semantic,PiT-B-224,PiT-B-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
pit_s_224,classification,imagenet,pit_s_224,Transformer,Semantic,PiT-S-224,PiT-S-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
pit_ti_224,classification,imagenet,pit_ti_224,Transformer,Semantic,PiT-T-224,PiT-T-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
pnasnet5large,classification,imagenet,pnasnet5large,Convolutional,Semantic,PNASNet-5-Large,PNASNet-5-Large trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
poolformer_s12,classification,imagenet,poolformer_s12,Transformer,Semantic,PoolFormer-S12,PoolFormer-S12 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
poolformer_s36,classification,imagenet,poolformer_s36,Transformer,Semantic,PoolFormer-S36,PoolFormer-S36 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
poolformer_m36,classification,imagenet,poolformer_m36,Transformer,Semantic,PoolFormer-M36,PoolFormer-M36 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
pit_ti_224,classification,imagenet,pit_ti_224,Transformer,Semantic,PiT-T-224,PiT-T-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
regnetx_064,classification,imagenet,regnetx_064,Convolutional,Semantic,RegNetX-64,RegNetX-64 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
regnety_064,classification,imagenet,regnety_064,Convolutional,Semantic,RegNetY-64,RegNetY-64 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
repvgg_b1,classification,imagenet,repvgg_b1,Convolutional,Semantic,RepVGG-B1,RepVGG-B1 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
repvgg_b1g4,classification,imagenet,repvgg_b1g4,Convolutional,Semantic,RepVGG-B1G4,RepVGG-B1G4 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
res2net50_26w_4s,classification,imagenet,res2net50_26w_4s,Convolutional,Semantic,Res2Net50-26W-4S,Res2Net50-26W-4S trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resmlp_12_224,classification,imagenet,resmlp_12_224,MLP-Mixer,Semantic,ResMLP-12,ResMLP-12 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resmlp_24_224,classification,imagenet,resmlp_24_224,MLP-Mixer,Semantic,ResMLP-24,ResMLP-24 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resmlp_36_224,classification,imagenet,resmlp_36_224,MLP-Mixer,Semantic,ResMLP-36,ResMLP-36 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resmlp_big_24_224,classification,imagenet,resmlp_big_24_224,MLP-Mixer,Semantic,ResMLP-Big-24,ResMLP-Big-24 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resnest50d,classification,imagenet,resnest50d,Convolutional,Semantic,ResNest50D,ResNest50D trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resnetrs50,classification,imagenet,resnetrs50,Convolutional,Semantic,ResNetRS50,ResNetRS50 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
rexnet_100,classification,imagenet,rexnet_100,Convolutional,Semantic,RexNet100,RexNet100 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
selecsls60,classification,imagenet,selecsls60,Convolutional,Semantic,SelecSLS60,SelecSLS60 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
semnasnet_100,classification,imagenet,semnasnet_100,Convolutional,Semantic,SemNASNet100,SemNASNet100 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
seresnet50,classification,imagenet,seresnet50,Convolutional,Semantic,SEResNet50,SEResNet50 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
seresnext50_32x4d,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,SEResNext50-32x4D,SEResNext50-32x4D trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
skresnet18,classification,imagenet,skresnet18,Convolutional,Semantic,SKResNet18,SKResNet18 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
skresnext50_32x4d,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,SKResNext50-32x4D,SKResNext50-32x4D trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
spnasnet_100,classification,imagenet,spnasnet_100,Convolutional,Semantic,SPNasNet100,SPNasNet100 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
swin_base_patch4_window7_224,classification,imagenet,swin_base_patch4_window7_224,Transformer,Semantic,Swin-B-P4-W7,Swin-B-P4-W7 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
swin_large_patch4_window7_224,classification,imagenet,swin_large_patch4_window7_224,Transformer,Semantic,Swin-L-P4-W7,Swin-L-P4-W7 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
swin_small_patch4_window7_224,classification,imagenet,swin_small_patch4_window7_224,Transformer,Semantic,Swin-S-P4-W7,Swin-S-P4-W7 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
swin_tiny_patch4_window7_224,classification,imagenet,swin_tiny_patch4_window7_224,Transformer,Semantic,Swin-T-P4-W7,Swin-T-P4-W7 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b0,classification,imagenet,tf_efficientnet_b0,Convolutional,Semantic,TF-EfficientNet-B0,TF-EfficientNet-B0 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b1,classification,imagenet,tf_efficientnet_b1,Convolutional,Semantic,TF-EfficientNet-B1,TF-EfficientNet-B1 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b2,classification,imagenet,tf_efficientnet_b2,Convolutional,Semantic,TF-EfficientNet-B2,TF-EfficientNet-B2 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b3,classification,imagenet,tf_efficientnet_b3,Convolutional,Semantic,TF-EfficientNet-B3,TF-EfficientNet-B3 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b4,classification,imagenet,tf_efficientnet_b4,Convolutional,Semantic,TF-EfficientNet-B4,TF-EfficientNet-B4 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b5,classification,imagenet,tf_efficientnet_b5,Convolutional,Semantic,TF-EfficientNet-B5,TF-EfficientNet-B5 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b6,classification,imagenet,tf_efficientnet_b6,Convolutional,Semantic,TF-EfficientNet-B6,TF-EfficientNet-B6 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b7,classification,imagenet,tf_efficientnet_b7,Convolutional,Semantic,TF-EfficientNet-B7,TF-EfficientNet-B7 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tnt_s_patch16_224,classification,imagenet,tnt_s_patch16_224,Transformer,Semantic,TnT-P16-224,TnT-P16-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
tresnet_l,classification,imagenet,tresnet_l,Convolutional,Semantic,TResNet-L,TResNet-L trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
twins_pcpvt_base,classification,imagenet,twins_pcpvt_base,Transformer,Semantic,Twins-PCPVT-B,Twins-PCPVT-B trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
twins_svt_base,classification,imagenet,twins_svt_base,Transformer,Semantic,Twins-SVT-B,Twins-SVT-B trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
visformer_small,classification,imagenet,visformer_small,Transformer,Semantic,Visformer,Visformer trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
vit_large_patch16_224,classification,imagenet,vit_large_patch16_224,Transformer,Semantic,ViT-L-P16,ViT-L-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
vit_small_patch16_224,classification,imagenet,vit_small_patch16_224,Transformer,Semantic,ViT-S-P16,ViT-S-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
vit_tiny_patch16_224,classification,imagenet,vit_tiny_patch16_224,Transformer,Semantic,ViT-T-P16,ViT-T-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
vit_base_patch16_224,classification,imagenet,vit_base_patch16_224,Transformer,Semantic,ViT-B-P16,ViT-B-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
vit_base_patch32_224,classification,imagenet,vit_base_patch32_224,Transformer,Semantic,ViT-B-P32,ViT-B-P32 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
vit_large_patch32_224,classification,imagenet,vit_large_patch32_224,Transformer,Semantic,ViT-L-P32,ViT-L-P32 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
vit_small_patch32_224,classification,imagenet,vit_small_patch32_224,Transformer,Semantic,ViT-S-P32,ViT-S-P32 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
volo_d1_224,classification,imagenet,volo_d1_224,Transformer,Semantic,VoLo-D1,VoLo-D1 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
volo_d3_224,classification,imagenet,volo_d3_224,Transformer,Semantic,VoLo-D3,VoLo-D3 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
volo_d5_224,classification,imagenet,volo_d5_224,Transformer,Semantic,VoLo-D5,VoLo-D5 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
xception,classification,imagenet,xception,Convolutional,Semantic,XCeption,XCeption trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
xception65,classification,imagenet,xception65,Convolutional,Semantic,XCeption65,XCeption65 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
xcit_nano_12_p8_224,classification,imagenet,xcit_nano_12_p8_224,Transformer,Semantic,XCIT-N-12-P8,XCIT-N-12-P8 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
xcit_small_12_p8_224,classification,imagenet,xcit_small_12_p8_224,Transformer,Semantic,XCIT-S-12-P8,XCIT-S-12-P8 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
xcit_medium_24_p8_224,classification,imagenet,xcit_medium_24_p8_224,Transformer,Semantic,XCIT-M-24-P8,XCIT-M-24-P8 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
xcit_nano_12_p16_224,classification,imagenet,xcit_nano_12_p16_224,Transformer,Semantic,XCIT-N-12-P16,XCIT-N-12-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
xcit_small_12_p16_224,classification,imagenet,xcit_small_12_p16_224,Transformer,Semantic,XCIT-S-12-P16,XCIT-S-12-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
xcit_medium_24_p16_224,classification,imagenet,xcit_medium_24_p16_224,Transformer,Semantic,XCIT-M-24-P16,XCIT-M-24-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
botnet26t_256,random,,botnet26t_256,Transformer,Semantic,BotNet-26T,"BotNet-26T randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
cait_s24_224,random,,cait_s24_224,Transformer,Semantic,CaiT-S24,"CaiT-S24 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
cait_xxs24_224,random,,cait_xxs24_224,Transformer,Semantic,CaiT-XXS24,"CaiT-XXS24 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
coat_lite_tiny,random,,coat_lite_tiny,Transformer,Semantic,CoaT-Lite-Tiny,"CoaT-Lite-Tiny randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
coat_lite_small,random,,coat_lite_small,Transformer,Semantic,CoaT-Lite-Small,"CoaT-Lite-Small randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
coat_mini,random,,coat_mini,Transformer,Semantic,CoaT-Mini,"CoaT-Mini randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
convit_base,random,,convit_base,Hybrid,Semantic,ConViT-B,"ConViT-B randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
convit_small,random,,convit_small,Hybrid,Semantic,ConViT-S,"ConViT-S randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
convit_tiny,random,,convit_tiny,Hybrid,Semantic,ConViT-T,"ConViT-T randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
convmixer_768_32,random,,convmixer_768_32,Hybrid,Semantic,ConvMixer-768-32,"ConvMixer-768-32 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
convnext_base,random,,convnext_base,Convolutional,Semantic,ConvNext-B,"ConvNext-B randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
convnext_large,random,,convnext_large,Convolutional,Semantic,ConvNext-L,"ConvNext-L randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
convnext_small,random,,convnext_small,Convolutional,Semantic,ConvNext-S,"ConvNext-S randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
crossvit_base_240,random,,crossvit_base_240,Transformer,Semantic,CrossViT-B,"CrossViT-B randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
crossvit_tiny_240,random,,crossvit_tiny_240,Transformer,Semantic,CrossViT-T,"CrossViT-T randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
deit_base_patch16_224,random,,deit_base_patch16_224,Transformer,Semantic,DeiT-B-P16-224,"DeiT-B-P16-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
deit_small_patch16_224,random,,deit_small_patch16_224,Transformer,Semantic,DeiT-S-P16-224,"DeiT-S-P16-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
deit_tiny_patch16_224,random,,deit_tiny_patch16_224,Transformer,Semantic,DeiT-T-P16-224,"DeiT-T-P16-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
cspdarknet53,random,,cspdarknet53,Convolutional,Semantic,CSP-DarkNet53,"CSP-DarkNet53 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
cspresnet50,random,,cspresnet50,Convolutional,Semantic,CSP-ResNet50,"CSP-ResNet50 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
dla34,random,,dla34,Convolutional,Semantic,DLA34,"DLA34 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
dla169,random,,dla169,Convolutional,Semantic,DLA169,"DLA169 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
eca_nfnet_l0,random,,eca_nfnet_l0,Convolutional,Semantic,ECA-NFNeT-L0,"ECA-NFNeT-L0 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
eca_nfnet_l1,random,,eca_nfnet_l1,Convolutional,Semantic,ECA-NFNeT-L1,"ECA-NFNeT-L1 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
ecaresnet50d,random,,ecaresnet50d,Convolutional,Semantic,ECA-Resnet50-D,"ECA-Resnet50-D randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
ecaresnet101d,random,,ecaresnet101d,Convolutional,Semantic,ECA-Resnet101-D,"ECA-Resnet101-D randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
efficientnet_b1,random,,efficientnet_b1,Convolutional,Semantic,EfficientNet-B1,"EfficientNet-B1 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
efficientnet_b3,random,,efficientnet_b3,Convolutional,Semantic,EfficientNet-B3,"EfficientNet-B3 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
efficientnet_b5,random,,efficientnet_b5,Convolutional,Semantic,EfficientNet-B5,"EfficientNet-B5 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
efficientnet_b7,random,,efficientnet_b7,Convolutional,Semantic,EfficientNet-B7,"EfficientNet-B7 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
gcresnet50t,random,,gcresnet50t,Convolutional,Semantic,GCResNet50T,"GCResNet50T randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
efficientnetv2_rw_s,random,,efficientnetv2_rw_s,Convolutional,Semantic,EfficientNet-V2-S,"EfficientNet-V2-S randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
fbnetc_100,random,,fbnetc_100,Convolutional,Semantic,FBNetC100,"FBNetC100 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
gernet_l,random,,gernet_l,Convolutional,Semantic,GerNet-L,"GerNet-L randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
gernet_s,random,,gernet_s,Convolutional,Semantic,GerNet-S,"GerNet-S randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
ghostnet_100,random,,ghostnet_100,Convolutional,Semantic,GhostNet100,"GhostNet100 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
gmixer_24_224,random,,gmixer_24_224,Convolutional,Semantic,GMixer-24,"GMixer-24 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
gmlp_s16_224,random,,gmlp_s16_224,Convolutional,Semantic,GMLP-S16,"GMLP-S16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
halonet26t,random,,halonet26t,Convolutional,Semantic,HaloNet-26T,"HaloNet-26T randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
hardcorenas_a,random,,hardcorenas_a,Convolutional,Semantic,HardCoreNAS-A,"HardCoreNAS-A randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
hardcorenas_f,random,,hardcorenas_f,Convolutional,Semantic,HardCoreNAS-F,"HardCoreNAS-F randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
hrnet_w18,random,,hrnet_w18,Convolutional,Semantic,HRNet-W18,"HRNet-W18 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
hrnet_w64,random,,hrnet_w64,Convolutional,Semantic,HRNet-W64,"HRNet-W64 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
jx_nest_base,random,,jx_nest_base,Transformer,Semantic,JX-NesT-Base,"JX-NesT-Base randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
jx_nest_small,random,,jx_nest_small,Transformer,Semantic,JX-NesT-Small,"JX-NesT-Small randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
jx_nest_tiny,random,,jx_nest_tiny,Transformer,Semantic,JX-NesT-Tiny,"JX-NesT-Tiny randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
lambda_resnet26t,random,,lambda_resnet26t,Convolutional,Semantic,Lambda-ResNet-26T,"Lambda-ResNet-26T randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
levit_128,random,,levit_128,Transformer,Semantic,LeViT128,"LeViT128 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
levit_256,random,,levit_256,Transformer,Semantic,LeViT256,"LeViT256 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
inception_resnet_v2,random,,inception_resnet_v2,Convolutional,Semantic,Inception-Resnet-V2,"Inception-Resnet-V2 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
inception_v3,random,,inception_v3,Convolutional,Semantic,Inception-V3,"Inception-V3 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
inception_v4,random,,inception_v4,Convolutional,Semantic,Inception-V4,"Inception-V4 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
mixer_b16_224,random,,mixer_b16_224,MLP-Mixer,Semantic,MLP-Mixer-B16,"MLP-Mixer-B16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
mixer_l16_224,random,,mixer_l16_224,MLP-Mixer,Semantic,MLP-Mixer-L16,"MLP-Mixer-L16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
mixnet_l,random,,mixnet_l,Convolutional,Semantic,MixNet-L,"MixNet-L randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
mixnet_s,random,,mixnet_s,Convolutional,Semantic,MixNet-S,"MixNet-S randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
mnasnet_100,random,,mnasnet_100,Convolutional,Semantic,MNASNet100,"MNASNet100 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
mnasnet_100,random,,mnasnet_100,Convolutional,Semantic,MNASNet100,"MNASNet100 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
mobilenetv3_large_100,random,,mobilenetv3_large_100,Convolutional,Semantic,MobileNet-V3-Large,"MobileNet-V3-Large randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
mobilenetv3_rw,random,,mobilenetv3_rw,Convolutional,Semantic,MobileNet-V3,"MobileNet-V3 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
mobilevit_s,random,,mobilevit_s,Transformer,Semantic,MobileViT-S,"MobileViT-S randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
nasnetalarge,random,,nasnetalarge,Convolutional,Semantic,NASNet-A-Large,"NASNet-A-Large randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
nf_resnet50,random,,nf_resnet50,Convolutional,Semantic,NF-ResNet50,"NF-ResNet50 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
nfnet_l0,random,,nfnet_l0,Convolutional,Semantic,NF-Net-L0,"NF-Net-L0 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
pit_b_224,random,,pit_b_224,Transformer,Semantic,PiT-B-224,"PiT-B-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
pit_s_224,random,,pit_s_224,Transformer,Semantic,PiT-S-224,"PiT-S-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
pit_ti_224,random,,pit_ti_224,Transformer,Semantic,PiT-T-224,"PiT-T-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
pnasnet5large,random,,pnasnet5large,Convolutional,Semantic,PNASNet-5-Large,"PNASNet-5-Large randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
poolformer_s12,random,,poolformer_s12,Transformer,Semantic,PoolFormer-S12,"PoolFormer-S12 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
poolformer_s36,random,,poolformer_s36,Transformer,Semantic,PoolFormer-S36,"PoolFormer-S36 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
poolformer_m36,random,,poolformer_m36,Transformer,Semantic,PoolFormer-M36,"PoolFormer-M36 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
pit_ti_224,random,,pit_ti_224,Transformer,Semantic,PiT-T-224,"PiT-T-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
regnetx_064,random,,regnetx_064,Convolutional,Semantic,RegNetX-64,"RegNetX-64 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
regnety_064,random,,regnety_064,Convolutional,Semantic,RegNetY-64,"RegNetY-64 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
repvgg_b1,random,,repvgg_b1,Convolutional,Semantic,RepVGG-B1,"RepVGG-B1 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
repvgg_b1g4,random,,repvgg_b1g4,Convolutional,Semantic,RepVGG-B1G4,"RepVGG-B1G4 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
res2net50_26w_4s,random,,res2net50_26w_4s,Convolutional,Semantic,Res2Net50-26W-4S,"Res2Net50-26W-4S randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
resmlp_12_224,random,,resmlp_12_224,MLP-Mixer,Semantic,ResMLP-12,"ResMLP-12 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
resmlp_24_224,random,,resmlp_24_224,MLP-Mixer,Semantic,ResMLP-24,"ResMLP-24 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
resmlp_36_224,random,,resmlp_36_224,MLP-Mixer,Semantic,ResMLP-36,"ResMLP-36 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
resmlp_big_24_224,random,,resmlp_big_24_224,MLP-Mixer,Semantic,ResMLP-Big-24,"ResMLP-Big-24 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
resnest50d,random,,resnest50d,Convolutional,Semantic,ResNest50D,"ResNest50D randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
resnetrs50,random,,resnetrs50,Convolutional,Semantic,ResNetRS50,"ResNetRS50 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
rexnet_100,random,,rexnet_100,Convolutional,Semantic,RexNet100,"RexNet100 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
selecsls60,random,,selecsls60,Convolutional,Semantic,SelecSLS60,"SelecSLS60 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
semnasnet_100,random,,semnasnet_100,Convolutional,Semantic,SemNASNet100,"SemNASNet100 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
seresnet50,random,,seresnet50,Convolutional,Semantic,SEResNet50,"SEResNet50 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
seresnext50_32x4d,random,,seresnext50_32x4d,Convolutional,Semantic,SEResNext50-32x4D,"SEResNext50-32x4D randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
